,Date,Período,Região,Estado,Variante,Variantes relevantes,Classificação,Frequência
76,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
77,2020-03,Mar 2020,Sudeste,São Paulo,B.1.195,Não VOC/VOI,Não VOC/VOI,2
78,2020-03,Mar 2020,Sudeste,São Paulo,B.1.212,Não VOC/VOI,Não VOC/VOI,1
79,2020-03,Mar 2020,Sudeste,São Paulo,B.1.333,Não VOC/VOI,Não VOC/VOI,1
80,2020-03,Mar 2020,Sudeste,São Paulo,B.1.446,Não VOC/VOI,Não VOC/VOI,3
81,2020-03,Mar 2020,Sudeste,São Paulo,B.1.540,Não VOC/VOI,Não VOC/VOI,3
82,2020-03,Mar 2020,Sudeste,São Paulo,B.1.605,Não VOC/VOI,Não VOC/VOI,3
83,2020-03,Mar 2020,Sudeste,São Paulo,B.23,Não VOC/VOI,Não VOC/VOI,1
84,2020-03,Mar 2020,Sudeste,São Paulo,B.3,Não VOC/VOI,Não VOC/VOI,1
85,2020-03,Mar 2020,Sudeste,São Paulo,B.40,Não VOC/VOI,Não VOC/VOI,1
86,2020-03,Mar 2020,Sudeste,São Paulo,B.6.6,Não VOC/VOI,Não VOC/VOI,1
87,2020-03,Mar 2020,Sul,Paraná,B.1,Não VOC/VOI,Não VOC/VOI,4
88,2020-03,Mar 2020,Sul,Paraná,B.1.1,Não VOC/VOI,Não VOC/VOI,1
89,2020-03,Mar 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,7
90,2020-03,Mar 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,10
91,2020-03,Mar 2020,Sul,Paraná,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
92,2020-03,Mar 2020,Sul,Paraná,B.1.195,Não VOC/VOI,Não VOC/VOI,1
93,2020-03,Mar 2020,Sul,Rio Grande do Sul,A,Não VOC/VOI,Não VOC/VOI,2
94,2020-03,Mar 2020,Sul,Rio Grande do Sul,B,Não VOC/VOI,Não VOC/VOI,1
95,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1,Não VOC/VOI,Não VOC/VOI,7
96,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,3
97,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
98,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
99,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,11
100,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
101,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.540,Não VOC/VOI,Não VOC/VOI,2
102,2020-03,Mar 2020,Sul,Santa Catarina,B.1,Não VOC/VOI,Não VOC/VOI,4
103,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1,Não VOC/VOI,Não VOC/VOI,1
104,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
105,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
106,2020-03,Mar 2020,Sul,Santa Catarina,B.6,Não VOC/VOI,Não VOC/VOI,1
107,2020-04,Abr 2020,Centro-oeste,Distrito Federal,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
108,2020-04,Abr 2020,Centro-oeste,Goiás,B.1,Não VOC/VOI,Não VOC/VOI,3
109,2020-04,Abr 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
110,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
111,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
112,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
113,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
114,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.212,Não VOC/VOI,Não VOC/VOI,1
115,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.540,Não VOC/VOI,Não VOC/VOI,1
116,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
117,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
118,2020-04,Abr 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,2
119,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
120,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,22
121,2020-04,Abr 2020,Nordeste,Bahia,B.1.177,Não VOC/VOI,Não VOC/VOI,1
122,2020-04,Abr 2020,Nordeste,Ceará,B.1,Não VOC/VOI,Não VOC/VOI,1
123,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
124,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
125,2020-04,Abr 2020,Nordeste,Ceará,B.1.212,Não VOC/VOI,Não VOC/VOI,2
126,2020-04,Abr 2020,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,17
127,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,18
128,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,7
129,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
130,2020-04,Abr 2020,Nordeste,Pernambuco,B,Não VOC/VOI,Não VOC/VOI,1
131,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,45
132,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.117,Não VOC/VOI,Não VOC/VOI,1
133,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.236,Não VOC/VOI,Não VOC/VOI,12
134,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
135,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
136,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.398,Não VOC/VOI,Não VOC/VOI,4
137,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.446,Não VOC/VOI,Não VOC/VOI,1
138,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.212,Não VOC/VOI,Não VOC/VOI,1
139,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.1,Não VOC/VOI,Não VOC/VOI,1
140,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
141,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.195,Não VOC/VOI,Não VOC/VOI,5
142,2020-04,Abr 2020,Nordeste,Sergipe,B.1,Não VOC/VOI,Não VOC/VOI,9
143,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1,Não VOC/VOI,Não VOC/VOI,3
144,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
145,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
146,2020-04,Abr 2020,Nordeste,Sergipe,B.1.212,Não VOC/VOI,Não VOC/VOI,3
147,2020-04,Abr 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,10
148,2020-04,Abr 2020,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
149,2020-04,Abr 2020,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
150,2020-04,Abr 2020,Norte,Amazonas,B.1.111,Não VOC/VOI,Não VOC/VOI,1
151,2020-04,Abr 2020,Norte,Amazonas,B.1.195,Não VOC/VOI,Não VOC/VOI,31
152,2020-04,Abr 2020,Norte,Amazonas,B.1.319,Não VOC/VOI,Não VOC/VOI,1
153,2020-04,Abr 2020,Norte,Pará,B.1.1.1,Não VOC/VOI,Não VOC/VOI,1
154,2020-04,Abr 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,29
155,2020-04,Abr 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
156,2020-04,Abr 2020,Norte,Pará,B.39,Não VOC/VOI,Não VOC/VOI,1
157,2020-04,Abr 2020,Norte,Roraima,B.1,Não VOC/VOI,Não VOC/VOI,1
158,2020-04,Abr 2020,Norte,Roraima,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
159,2020-04,Abr 2020,Sudeste,Espírito Santo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
160,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1,Não VOC/VOI,Não VOC/VOI,5
161,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
162,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1.1.33,Não VOC/VOI,Não VOC/VOI,20
163,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1.258,Não VOC/VOI,Não VOC/VOI,1
164,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1,Não VOC/VOI,Não VOC/VOI,4
165,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.1,Não VOC/VOI,Não VOC/VOI,1
166,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.1.28,Não VOC/VOI,Não VOC/VOI,16
167,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.1.33,Não VOC/VOI,Não VOC/VOI,224
168,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.479,Não VOC/VOI,Não VOC/VOI,1
169,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.39,Não VOC/VOI,Não VOC/VOI,5
170,2020-04,Abr 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,16
171,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1,Não VOC/VOI,Não VOC/VOI,14
172,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,312
173,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,89
174,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
175,2020-04,Abr 2020,Sudeste,São Paulo,B.1.212,Não VOC/VOI,Não VOC/VOI,1
176,2020-04,Abr 2020,Sudeste,São Paulo,B.1.258,Não VOC/VOI,Não VOC/VOI,1
177,2020-04,Abr 2020,Sudeste,São Paulo,B.1.446,Não VOC/VOI,Não VOC/VOI,1
178,2020-04,Abr 2020,Sul,Paraná,B.1.1.1,Não VOC/VOI,Não VOC/VOI,2
179,2020-04,Abr 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,14
180,2020-04,Abr 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
181,2020-04,Abr 2020,Sul,Paraná,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
182,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,2
183,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
184,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
185,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,21
186,2020-04,Abr 2020,Sul,Santa Catarina,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
187,2020-04,Abr 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
188,2020-05,Mai 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
189,2020-05,Mai 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
190,2020-05,Mai 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
191,2020-05,Mai 2020,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
192,2020-05,Mai 2020,Nordeste,Alagoas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
193,2020-05,Mai 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,1
194,2020-05,Mai 2020,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,1
195,2020-05,Mai 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
196,2020-05,Mai 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
197,2020-05,Mai 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
198,2020-05,Mai 2020,Nordeste,Ceará,B.1.212,Não VOC/VOI,Não VOC/VOI,7
199,2020-05,Mai 2020,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
200,2020-05,Mai 2020,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,3
201,2020-05,Mai 2020,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
202,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,22
203,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1.236,Não VOC/VOI,Não VOC/VOI,8
204,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
205,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
206,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.540,Não VOC/VOI,Não VOC/VOI,1
207,2020-05,Mai 2020,Norte,Acre,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
208,2020-05,Mai 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
209,2020-05,Mai 2020,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
210,2020-05,Mai 2020,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
211,2020-05,Mai 2020,Norte,Amazonas,B.1.111,Não VOC/VOI,Não VOC/VOI,3
212,2020-05,Mai 2020,Norte,Amazonas,B.1.195,Não VOC/VOI,Não VOC/VOI,10
213,2020-05,Mai 2020,Norte,Pará,B.1.1,Não VOC/VOI,Não VOC/VOI,2
214,2020-05,Mai 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
215,2020-05,Mai 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
216,2020-05,Mai 2020,Norte,Pará,B.1.212,Não VOC/VOI,Não VOC/VOI,1
217,2020-05,Mai 2020,Norte,Pará,P.1 (Gama),P.1 (Gama),VOC/VOI,2
218,2020-05,Mai 2020,Norte,Pará,P.2,P.2,VOC/VOI,2
219,2020-05,Mai 2020,Norte,Rondônia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
220,2020-05,Mai 2020,Norte,Rondônia,B.1.212,Não VOC/VOI,Não VOC/VOI,2
221,2020-05,Mai 2020,Norte,Roraima,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
222,2020-05,Mai 2020,Sudeste,Espírito Santo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
223,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1,Não VOC/VOI,Não VOC/VOI,1
224,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1.1.28,Não VOC/VOI,Não VOC/VOI,4
225,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
226,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1,Não VOC/VOI,Não VOC/VOI,4
227,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1,Não VOC/VOI,Não VOC/VOI,1
228,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
229,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1.33,Não VOC/VOI,Não VOC/VOI,46
230,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.39,Não VOC/VOI,Não VOC/VOI,1
231,2020-05,Mai 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,2
232,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1,Não VOC/VOI,Não VOC/VOI,1
233,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.208,Não VOC/VOI,Não VOC/VOI,1
234,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,73
235,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,14
236,2020-05,Mai 2020,Sul,Paraná,B.1.1.1,Não VOC/VOI,Não VOC/VOI,2
237,2020-05,Mai 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
238,2020-05,Mai 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,12
239,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1,Não VOC/VOI,Não VOC/VOI,1
240,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,6
241,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
242,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
243,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,50
244,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.91,Não VOC/VOI,Não VOC/VOI,4
245,2020-05,Mai 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
246,2020-05,Mai 2020,Sul,Santa Catarina,B.1.195,Não VOC/VOI,Não VOC/VOI,1
247,2020-06,Jun 2020,Centro-oeste,Goiás,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
248,2020-06,Jun 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,11
249,2020-06,Jun 2020,Centro-oeste,Mato Grosso,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
250,2020-06,Jun 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
251,2020-06,Jun 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
