,Linhagem,Frequência,Porcentagem
0,AY.99.2 (Delta),688,46.73913043478261
1,AY.43 (Delta),222,15.081521739130435
2,AY.101 (Delta),96,6.521739130434782
3,AY.34 (Delta),96,6.521739130434782
4,AY.46.3 (Delta),81,5.502717391304348
5,AY.100 (Delta),70,4.755434782608696
6,AY.99.1 (Delta),42,2.8532608695652173
7,AY.36 (Delta),37,2.5135869565217392
8,B.1.617.2 (Delta),20,1.358695652173913
9,AY.54 (Delta),19,1.2907608695652173
10,P.1.7 (Gama),14,0.9510869565217392
11,AY.102 (Delta),13,0.8831521739130435
12,AY.5 (Delta),12,0.8152173913043478
13,P.1 (Gama),11,0.7472826086956522
14,P.1.4 (Gama),6,0.4076086956521739
15,AY.99 (Delta),5,0.33967391304347827
16,AY.42 (Delta),5,0.33967391304347827
17,AY.26 (Delta),4,0.2717391304347826
18,AY.39 (Delta),4,0.2717391304347826
19,AY.6 (Delta),4,0.2717391304347826
20,AY.44 (Delta),4,0.2717391304347826
21,AY.106 (Delta),4,0.2717391304347826
22,AY.103 (Delta),3,0.20380434782608695
23,AY.9.2 (Delta),3,0.20380434782608695
24,AY.46 (Delta),3,0.20380434782608695
25,AY.111 (Delta),1,0.06793478260869565
26,P.1.8 (Gama),1,0.06793478260869565
27,AY.5.3 (Delta),1,0.06793478260869565
28,AY.95 (Delta),1,0.06793478260869565
29,B,1,0.06793478260869565
30,P.1.6 (Gama),1,0.06793478260869565
