,Date,Período,País,Linhagem,Quantidade
47,2020-11,Nov 2020,Guatemala,B.1.1.432,1
44,2020-11,Nov 2020,Bahamas,B.1.240,4
45,2020-11,Nov 2020,Guatemala,B.1,1
43,2020-11,Nov 2020,Bahamas,B.1.1.192,8
42,2020-11,Nov 2020,Bahamas,B.1.1,1
46,2020-11,Nov 2020,Guatemala,B.1.1.368,1
52,2020-12,Dez 2020,Haiti,B.1,7
53,2020-12,Dez 2020,Haiti,B.1.126,3
61,2021-01,Jan 2021,Honduras,B.1.627,5
63,2021-01,Jan 2021,Jamaica,B.1.1.7+Q.* (Alfa),2
62,2021-01,Jan 2021,Honduras,B.1.628,2
59,2021-01,Jan 2021,Honduras,B.1,3
60,2021-01,Jan 2021,Honduras,B.1.396,1
57,2021-01,Jan 2021,Guatemala,B.1.241,1
54,2021-01,Jan 2021,Bahamas,B.1.2,2
55,2021-01,Jan 2021,Bahamas,B.1.595,1
58,2021-01,Jan 2021,Haiti,B.1,1
56,2021-01,Jan 2021,Guatemala,B.1.111,1
71,2021-02,Fev 2021,Jamaica,B.1.1.7+Q.* (Alfa),83
64,2021-02,Fev 2021,Haiti,B.1.575,1
65,2021-02,Fev 2021,Honduras,A.2.5,1
66,2021-02,Fev 2021,Honduras,B.1.1,1
67,2021-02,Fev 2021,Honduras,B.1.2,1
68,2021-02,Fev 2021,Honduras,B.1.596,2
69,2021-02,Fev 2021,Honduras,B.1.627,8
70,2021-02,Fev 2021,Honduras,B.1.636,5
83,2021-03,Mar 2021,Rep. Dominicana,B.1,1
84,2021-03,Mar 2021,Rep. Dominicana,B.1.575,17
85,2021-03,Mar 2021,Rep. Dominicana,B.1.623,2
76,2021-03,Mar 2021,Bolívia,B.1.1.274,1
87,2021-03,Mar 2021,Rep. Dominicana,B.1.637,2
88,2021-03,Mar 2021,Rep. Dominicana,P.1+P.1.* (Gama),2
82,2021-03,Mar 2021,Rep. Dominicana,A.2.5,3
86,2021-03,Mar 2021,Rep. Dominicana,B.1.630,1
81,2021-03,Mar 2021,Jamaica,B.1.526 (Iota),1
74,2021-03,Mar 2021,Bahamas,B.1.427,1
79,2021-03,Mar 2021,Bolívia,P.1+P.1.* (Gama),8
78,2021-03,Mar 2021,Bolívia,B.1.575,1
77,2021-03,Mar 2021,Bolívia,B.1.1.348,1
75,2021-03,Mar 2021,Bahamas,B.1.623,3
73,2021-03,Mar 2021,Bahamas,B.1.1.7+Q.* (Alfa),4
72,2021-03,Mar 2021,Bahamas,B.1.1.434,1
80,2021-03,Mar 2021,Jamaica,B.1.1.7+Q.* (Alfa),36
91,2021-04,Abr 2021,Bahamas,B.1.623,1
92,2021-04,Abr 2021,Jamaica,B.1.1.7+Q.* (Alfa),4
90,2021-04,Abr 2021,Bahamas,B.1.526 (Iota),1
89,2021-04,Abr 2021,Bahamas,B.1.1.7+Q.* (Alfa),22
104,2021-05,Mai 2021,Rep. Dominicana,C.37 (Lambda),3
93,2021-05,Mai 2021,Bahamas,B.1.1.7+Q.* (Alfa),8
94,2021-05,Mai 2021,Haiti,B.1.1.7+Q.* (Alfa),1
95,2021-05,Mai 2021,Haiti,P.1+P.1.* (Gama),47
96,2021-05,Mai 2021,Jamaica,B.1.1.7+Q.* (Alfa),12
97,2021-05,Mai 2021,Rep. Dominicana,B.1,2
98,2021-05,Mai 2021,Rep. Dominicana,B.1.1.7+Q.* (Alfa),2
99,2021-05,Mai 2021,Rep. Dominicana,B.1.526 (Iota),1
100,2021-05,Mai 2021,Rep. Dominicana,B.1.621 (Mu),2
101,2021-05,Mai 2021,Rep. Dominicana,B.1.621.1,8
102,2021-05,Mai 2021,Rep. Dominicana,B.1.630,2
103,2021-05,Mai 2021,Rep. Dominicana,B.1.637,2
105,2021-05,Mai 2021,Rep. Dominicana,P.1+P.1.* (Gama),10
106,2021-06,Jun 2021,Bahamas,B.1.1.7+Q.* (Alfa),1
107,2021-07,Jul 2021,Bahamas,B.1.1.7+Q.* (Alfa),17
108,2021-07,Jul 2021,Bahamas,B.1.617.2+AY.* (Delta),15
109,2021-07,Jul 2021,Bahamas,P.1+P.1.* (Gama),1
110,2021-07,Jul 2021,Rep. Dominicana,B.1.526 (Iota),1
111,2021-07,Jul 2021,Rep. Dominicana,B.1.617.2+AY.* (Delta),1
112,2021-07,Jul 2021,Rep. Dominicana,B.1.621 (Mu),2
113,2021-07,Jul 2021,Rep. Dominicana,B.1.621.1,14
114,2021-07,Jul 2021,Rep. Dominicana,B.1.630,5
115,2021-07,Jul 2021,Rep. Dominicana,C.37 (Lambda),1
116,2021-07,Jul 2021,Rep. Dominicana,P.1+P.1.* (Gama),2
119,2021-08,Ago 2021,Rep. Dominicana,B.1.617.2+AY.* (Delta),4
120,2021-08,Ago 2021,Rep. Dominicana,B.1.621.1,4
117,2021-08,Ago 2021,Bahamas,B.1.1.7+Q.* (Alfa),5
118,2021-08,Ago 2021,Bahamas,B.1.617.2+AY.* (Delta),22
121,2021-08,Ago 2021,Rep. Dominicana,B.1.630,3
