,Date,Período,Região,Estado,Variante,Variantes relevantes,Classificação,Quantidade
77,2020-03,Mar 2020,Sudeste,São Paulo,B.1.195,Não VOC/VOI,Não VOC/VOI,2
78,2020-03,Mar 2020,Sudeste,São Paulo,B.1.212,Não VOC/VOI,Não VOC/VOI,1
79,2020-03,Mar 2020,Sudeste,São Paulo,B.1.333,Não VOC/VOI,Não VOC/VOI,1
80,2020-03,Mar 2020,Sudeste,São Paulo,B.1.446,Não VOC/VOI,Não VOC/VOI,3
81,2020-03,Mar 2020,Sudeste,São Paulo,B.1.520,Não VOC/VOI,Não VOC/VOI,1
82,2020-03,Mar 2020,Sudeste,São Paulo,B.23,Não VOC/VOI,Não VOC/VOI,1
83,2020-03,Mar 2020,Sudeste,São Paulo,B.3,Não VOC/VOI,Não VOC/VOI,1
84,2020-03,Mar 2020,Sudeste,São Paulo,B.40,Não VOC/VOI,Não VOC/VOI,1
85,2020-03,Mar 2020,Sudeste,São Paulo,B.6,Não VOC/VOI,Não VOC/VOI,1
86,2020-03,Mar 2020,Sul,Paraná,B.1,Não VOC/VOI,Não VOC/VOI,5
87,2020-03,Mar 2020,Sul,Paraná,B.1.1,Não VOC/VOI,Não VOC/VOI,2
88,2020-03,Mar 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,7
89,2020-03,Mar 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
90,2020-03,Mar 2020,Sul,Paraná,B.1.195,Não VOC/VOI,Não VOC/VOI,1
91,2020-03,Mar 2020,Sul,Rio Grande do Sul,A,Não VOC/VOI,Não VOC/VOI,2
92,2020-03,Mar 2020,Sul,Rio Grande do Sul,B,Não VOC/VOI,Não VOC/VOI,1
93,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1,Não VOC/VOI,Não VOC/VOI,10
94,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,4
95,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
96,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
97,2020-03,Mar 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,10
98,2020-03,Mar 2020,Sul,Santa Catarina,B.1,Não VOC/VOI,Não VOC/VOI,4
99,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1,Não VOC/VOI,Não VOC/VOI,2
100,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
101,2020-03,Mar 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
102,2020-03,Mar 2020,Sul,Santa Catarina,B.6,Não VOC/VOI,Não VOC/VOI,1
103,2020-04,Abr 2020,Centro-oeste,Distrito Federal,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
104,2020-04,Abr 2020,Centro-oeste,Goiás,B.1,Não VOC/VOI,Não VOC/VOI,3
105,2020-04,Abr 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
106,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
107,2020-04,Abr 2020,Centro-oeste,Mato Grosso,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
108,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1,Não VOC/VOI,Não VOC/VOI,1
109,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
110,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
111,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,B.1.212,Não VOC/VOI,Não VOC/VOI,1
112,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
113,2020-04,Abr 2020,Nordeste,Alagoas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
114,2020-04,Abr 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,5
115,2020-04,Abr 2020,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,1
116,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
117,2020-04,Abr 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,31
118,2020-04,Abr 2020,Nordeste,Ceará,B.1,Não VOC/VOI,Não VOC/VOI,1
119,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
120,2020-04,Abr 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
121,2020-04,Abr 2020,Nordeste,Ceará,B.1.212,Não VOC/VOI,Não VOC/VOI,2
122,2020-04,Abr 2020,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,17
123,2020-04,Abr 2020,Nordeste,Paraíba,B.1,Não VOC/VOI,Não VOC/VOI,2
124,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,17
125,2020-04,Abr 2020,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,7
126,2020-04,Abr 2020,Nordeste,Pernambuco,B,Não VOC/VOI,Não VOC/VOI,1
127,2020-04,Abr 2020,Nordeste,Pernambuco,B.1,Não VOC/VOI,Não VOC/VOI,4
128,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,46
129,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.117,Não VOC/VOI,Não VOC/VOI,1
130,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
131,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
132,2020-04,Abr 2020,Nordeste,Pernambuco,B.1.212,Não VOC/VOI,Não VOC/VOI,1
133,2020-04,Abr 2020,Nordeste,Pernambuco,B.60,Não VOC/VOI,Não VOC/VOI,12
134,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.1,Não VOC/VOI,Não VOC/VOI,1
135,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
136,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.195,Não VOC/VOI,Não VOC/VOI,5
137,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,B.1.333,Não VOC/VOI,Não VOC/VOI,1
138,2020-04,Abr 2020,Nordeste,Sergipe,B.1,Não VOC/VOI,Não VOC/VOI,9
139,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1,Não VOC/VOI,Não VOC/VOI,3
140,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
141,2020-04,Abr 2020,Nordeste,Sergipe,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
142,2020-04,Abr 2020,Nordeste,Sergipe,B.1.212,Não VOC/VOI,Não VOC/VOI,3
143,2020-04,Abr 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,10
144,2020-04,Abr 2020,Norte,Amazonas,B.1,Não VOC/VOI,Não VOC/VOI,1
145,2020-04,Abr 2020,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
146,2020-04,Abr 2020,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
147,2020-04,Abr 2020,Norte,Amazonas,B.1.111,Não VOC/VOI,Não VOC/VOI,1
148,2020-04,Abr 2020,Norte,Amazonas,B.1.195,Não VOC/VOI,Não VOC/VOI,31
149,2020-04,Abr 2020,Norte,Pará,B.1.1.1,Não VOC/VOI,Não VOC/VOI,1
150,2020-04,Abr 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,29
151,2020-04,Abr 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
152,2020-04,Abr 2020,Norte,Pará,B.39,Não VOC/VOI,Não VOC/VOI,1
153,2020-04,Abr 2020,Norte,Roraima,B.1,Não VOC/VOI,Não VOC/VOI,1
154,2020-04,Abr 2020,Norte,Roraima,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
155,2020-04,Abr 2020,Sudeste,Espírito Santo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
156,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1,Não VOC/VOI,Não VOC/VOI,6
157,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
158,2020-04,Abr 2020,Sudeste,Minas Gerais,B.1.1.33,Não VOC/VOI,Não VOC/VOI,20
159,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1,Não VOC/VOI,Não VOC/VOI,4
160,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.1.28,Não VOC/VOI,Não VOC/VOI,16
161,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.1.33,Não VOC/VOI,Não VOC/VOI,224
162,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.1.479,Não VOC/VOI,Não VOC/VOI,1
163,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.39,Não VOC/VOI,Não VOC/VOI,5
164,2020-04,Abr 2020,Sudeste,Rio de Janeiro,B.60,Não VOC/VOI,Não VOC/VOI,1
165,2020-04,Abr 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,18
166,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1,Não VOC/VOI,Não VOC/VOI,16
167,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,313
168,2020-04,Abr 2020,Sudeste,São Paulo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,87
169,2020-04,Abr 2020,Sudeste,São Paulo,B.1.212,Não VOC/VOI,Não VOC/VOI,1
170,2020-04,Abr 2020,Sudeste,São Paulo,B.1.446,Não VOC/VOI,Não VOC/VOI,1
171,2020-04,Abr 2020,Sul,Paraná,B.1,Não VOC/VOI,Não VOC/VOI,1
172,2020-04,Abr 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,14
173,2020-04,Abr 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
174,2020-04,Abr 2020,Sul,Paraná,B.1.1.372,Não VOC/VOI,Não VOC/VOI,2
175,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,2
176,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
177,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
178,2020-04,Abr 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,21
179,2020-04,Abr 2020,Sul,Santa Catarina,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
180,2020-04,Abr 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
181,2020-05,Mai 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
182,2020-05,Mai 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
183,2020-05,Mai 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
184,2020-05,Mai 2020,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
185,2020-05,Mai 2020,Nordeste,Alagoas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
186,2020-05,Mai 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,1
187,2020-05,Mai 2020,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,1
188,2020-05,Mai 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,9
189,2020-05,Mai 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
190,2020-05,Mai 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
191,2020-05,Mai 2020,Nordeste,Ceará,B.1.212,Não VOC/VOI,Não VOC/VOI,7
192,2020-05,Mai 2020,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
193,2020-05,Mai 2020,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,3
194,2020-05,Mai 2020,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
195,2020-05,Mai 2020,Nordeste,Pernambuco,B.1,Não VOC/VOI,Não VOC/VOI,1
196,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,21
197,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
198,2020-05,Mai 2020,Nordeste,Pernambuco,B.1.1.33,Não VOC/VOI,Não VOC/VOI,4
199,2020-05,Mai 2020,Nordeste,Pernambuco,B.60,Não VOC/VOI,Não VOC/VOI,9
200,2020-05,Mai 2020,Norte,Acre,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
201,2020-05,Mai 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
202,2020-05,Mai 2020,Norte,Amazonas,B.1.1,Não VOC/VOI,Não VOC/VOI,1
203,2020-05,Mai 2020,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,8
204,2020-05,Mai 2020,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
205,2020-05,Mai 2020,Norte,Amazonas,B.1.111,Não VOC/VOI,Não VOC/VOI,3
206,2020-05,Mai 2020,Norte,Amazonas,B.1.195,Não VOC/VOI,Não VOC/VOI,10
207,2020-05,Mai 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
208,2020-05,Mai 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
209,2020-05,Mai 2020,Norte,Pará,B.1.212,Não VOC/VOI,Não VOC/VOI,1
210,2020-05,Mai 2020,Norte,Rondônia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
211,2020-05,Mai 2020,Norte,Rondônia,B.1.212,Não VOC/VOI,Não VOC/VOI,2
212,2020-05,Mai 2020,Norte,Roraima,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
213,2020-05,Mai 2020,Sudeste,Espírito Santo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,5
214,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1,Não VOC/VOI,Não VOC/VOI,1
215,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1.1.28,Não VOC/VOI,Não VOC/VOI,4
216,2020-05,Mai 2020,Sudeste,Minas Gerais,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
217,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1,Não VOC/VOI,Não VOC/VOI,3
218,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1,Não VOC/VOI,Não VOC/VOI,1
219,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
220,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.1.33,Não VOC/VOI,Não VOC/VOI,46
221,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.1.333,Não VOC/VOI,Não VOC/VOI,1
222,2020-05,Mai 2020,Sudeste,Rio de Janeiro,B.39,Não VOC/VOI,Não VOC/VOI,1
223,2020-05,Mai 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,2
224,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1,Não VOC/VOI,Não VOC/VOI,1
225,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.208,Não VOC/VOI,Não VOC/VOI,1
226,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,72
227,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,14
228,2020-05,Mai 2020,Sudeste,São Paulo,B.1.1.464,Não VOC/VOI,Não VOC/VOI,1
229,2020-05,Mai 2020,Sul,Paraná,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
230,2020-05,Mai 2020,Sul,Paraná,B.1.1.33,Não VOC/VOI,Não VOC/VOI,12
231,2020-05,Mai 2020,Sul,Paraná,B.1.1.372,Não VOC/VOI,Não VOC/VOI,2
232,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1,Não VOC/VOI,Não VOC/VOI,1
233,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,6
234,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.161,Não VOC/VOI,Não VOC/VOI,2
235,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
236,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,50
237,2020-05,Mai 2020,Sul,Rio Grande do Sul,B.1.91,Não VOC/VOI,Não VOC/VOI,4
238,2020-05,Mai 2020,Sul,Santa Catarina,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
239,2020-05,Mai 2020,Sul,Santa Catarina,B.1.195,Não VOC/VOI,Não VOC/VOI,1
240,2020-06,Jun 2020,Centro-oeste,Goiás,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
241,2020-06,Jun 2020,Centro-oeste,Goiás,B.1.1.33,Não VOC/VOI,Não VOC/VOI,11
242,2020-06,Jun 2020,Centro-oeste,Mato Grosso,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
243,2020-06,Jun 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
244,2020-06,Jun 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
245,2020-06,Jun 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,1
246,2020-06,Jun 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
247,2020-06,Jun 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
248,2020-06,Jun 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
249,2020-06,Jun 2020,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,5
250,2020-06,Jun 2020,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
251,2020-06,Jun 2020,Nordeste,Pernambuco,B.1,Não VOC/VOI,Não VOC/VOI,1
